"","k_CCAplus","intercept_CCAplus","k_GScore","intercept_Gscore"
"1",0.365638,-0.159042,0.344732,1.58603
"2",0.392024,-0.113335,0.33937,1.61535
"3",0.453467,-0.0318014,0.335454,1.72853
"4",0.419525,-0.256679,0.298256,1.73318
"5",0.427739,-0.254567,0.319623,1.54328
"6",0.433702,-0.251982,0.285576,1.55285
"7",0.439181,-0.257757,0.301647,1.73452
"8",0.436704,-0.195141,0.29482,1.74293
"9",0.425993,-0.0853215,0.292384,1.84867
"10",0.438347,-0.0980963,0.302019,1.80974
"11",0.451021,-0.0910272,0.309319,1.79416
"12",0.449919,-0.0897603,0.315339,1.72215
"13",0.447659,-0.0859228,0.305502,1.77673
"14",0.427114,0.0236707,0.302934,1.75894
"15",0.427519,-0.0307595,0.300199,1.88159
"16",0.421492,-0.0114496,0.305365,1.92455
"17",0.417799,-0.0489208,0.282054,1.83437
"18",0.496775,-0.00134878,0.322612,1.8411
"19",0.502954,-0.0417458,0.296047,1.80281
"20",0.487427,-0.0696769,0.306088,1.76176
"21",0.444189,0.0637478,0.317829,1.79628
"22",0.459503,-0.0892487,0.330798,1.76351
"23",0.438696,-0.179494,0.293051,1.78636
"24",0.394066,-0.196612,0.334,1.77945
"25",0.411598,0.0662396,0.332564,1.78535
"26",0.402996,-0.105592,0.32112,1.75527
"27",0.44267,0.00157053,0.309509,1.80546
"28",0.443097,-0.0293221,0.299646,1.80172
"29",0.388229,-0.0198671,0.302404,1.89715
"30",0.401245,-0.0204689,0.294098,1.87161
"31",0.414621,-0.0341554,0.289265,2.07883
"32",0.418288,-0.0679013,0.286492,1.76577
"33",0.379492,-0.0851243,0.309997,1.86219
"34",0.367598,-0.0146993,0.312821,1.87175
"35",0.360124,0.0207273,0.283193,1.86072
"36",0.380202,0.0160679,0.2867,1.86406
"37",0.416954,-0.0155434,0.277088,1.98464
"38",0.457785,-0.0929765,0.285184,1.98984
"39",0.495962,0.114119,0.297701,1.96878
"40",0.481165,0.00347574,0.30951,1.95467
"41",0.468467,0.0981515,0.30788,1.84708
"42",0.470393,0.0920722,0.293398,1.84551
"43",0.476097,0.122236,0.295815,1.80235
"44",0.523084,0.195731,0.309803,1.79393
"45",0.499588,0.147437,0.303293,1.77949
"46",0.480887,0.0303852,0.29613,1.78634
"47",0.474595,0.039146,0.322628,1.76594
"48",0.45506,-0.0160554,0.310242,1.67175
"49",0.429505,-0.0394033,0.31092,1.71052
"50",0.397494,-0.0381554,0.327242,1.72403
"51",0.392793,-0.0318267,0.307244,1.87132
"52",0.443868,-0.0146306,0.291556,1.84491
"53",0.455101,-0.0818338,0.297372,1.85406
"54",0.447953,-0.0977412,0.316143,1.84522
"55",0.490367,-0.0991485,0.307067,1.94514
"56",0.486168,-0.0927893,0.309762,1.87404
"57",0.486439,-0.0669693,0.330327,1.91107
"58",0.435103,-0.089937,0.305828,1.80266
"59",0.438185,-0.0333944,0.298361,1.85233
